"","Price.bin","Sales_count","Stamp_paid_hypo","stamp_rate","Stamp_rate_act","Council_tax","cTax_rate","Av_price"
"1","0-100",529,0,0,0,490808,1.12057323951403,84849.9716446125
"3","100-250",25362,40955745.54,0.733221849466729,48603606.36,33400164,0.655702123511498,205385.353481587
"6","250-500",51737,433024779.4,2.17763643303982,536332265.04,85518623,0.461663898554353,367394.622571854
"9","500-750",16194,335435812.85,3.35163843759298,383229006.51,30687809,0.311606213780747,614271.72144004
"11","750-1m",7126,243264555.05,3.90552962066866,246991280.77,14276081,0.231464936453116,870356.504209935
"5","1m-1.5m",4468,303524060.5,5.41594850518228,282937920.35,9211100,0.167982214957939,1241828.69404655
"2","1.5m-2m",2103,260555246.4,7.03654027800978,200316298.68,4532161,0.123758883021378,1751224.42700903
"7","2m-3m",1142,243655393.56,8.50380341436232,208832243.21,2498652,0.0887288257527549,2496737.40192644
"8","3m-5m",685,249737775.24,9.65655793264116,194582309.09,1441046,0.0572525226117978,3756922.44817518
"10","5m-10m",285,203824967.16,10.6681087132338,145083190.76,583381,0.0317032695006265,6678544.36140351
"4","10m+",85,149417844.84,11.3833322046907,103581864.09,169189,0.014402730526561,15367558.3176471
