"","Price.bin","Sales_count","Stamp_paid_hypo","stamp_rate","Stamp_rate_act","Council_tax","cTax_rate","Av_price_USD"
"1","0-100",30,0,0,0,44789.2657227527,1.61735076361355,92500.4939084623
"3","100-250",3591,619003.34,0.119560598658242,2261509.8,6210563.05564702,0.853925876813067,207042.831166014
"6","250-500",34310,89118696.45,1.03259463633889,134523344.15,80053995.71946,0.603610338619117,392719.185375895
"9","500-750",32251,278799736.65,2.28195001528164,340790857.47,88142072.7691801,0.449544974632002,613917.847289096
"11","750-1m",15803,254584330.3,3.07208101145228,284706043.21,47669071.4520909,0.352815224717102,859725.8301197
"5","1m-1.5m",12754,340719671.95,3.619687279227,366863419.67,41043681.2644057,0.2693129769352,1208914.40347677
"2","1.5m-2m",4302,205461310.25,4.5532839435378,202995875.63,14538735.5943365,0.198789689659525,1712104.82615846
"7","2m-3m",3750,341411378.16,6.16671384611047,288462244.32,12904206.4537372,0.144682868306713,2406241.79211942
"8","3m-5m",1873,350530820.16,8.12751957171695,287274053.98,6759147.18472176,0.0984784013994265,3750952.10151502
"10","5m-10m",795,314232434.4,9.7695680158773,242512319.4,2750785.31445505,0.0544722200570167,6606175.55391265
"4","10m+",257,287918798.88,11.0058002336229,200100317.23,852681.92295028,0.0233891201363861,16553570.0036771
