"","cat","count","sales.price","market.val","assessed.val","exempt.val","prop.tax","tax.units","sales.units","tax.rate","tax.rate2_mean","sd.tax.rate2","tax.var","av_price","X10.","X25.","X50.","X75.","X90."
"1","0-100",493,568705621,376843123,115061701,18196927,12451966.67,8017,7928,3.20907942973523,2.95666328600406,5.11779365215793,1.73093557064276,71733.8068869828,0.7804,1.288,1.952,2.837,5.3858
"3","100-250",1533,4006830403,1484844274,444565803,48675849,50891653.14,26449,25788,2.95535382603008,1.18508023483366,0.666377399720632,0.562305724231546,155375.771793082,0.4292,0.73,1.115,1.557,1.9808
"6","250-500",676,7742088807,2640526903,866925916,65445721,103030278.96,21201,20608,2.60720266272189,0.729576923076923,0.498845037914433,0.683745636869379,375683.657171972,0.1955,0.36375,0.607,0.99925,1.4815
"9","500-750",204,2610788053,710149000,242329293,18546377,28767293.91,4466,4237,2.71575,0.610328431372549,0.484760694580672,0.794262022974267,616187.881283927,0.1603,0.253,0.427,0.8495,1.2535
"11","750-1m",109,2127126789,602199000,204396615,23395645,23267674.68,2596,2466,2.89141666666667,0.703064220183486,0.462432883523119,0.65773917978991,862581.828467153,0.1436,0.3,0.676,0.985,1.371
"5","1m-1.5m",61,524241590,164176000,36372645,4384353,4112094.95,489,431,2.51324590163934,0.705065573770492,0.439603756006568,0.623493434313763,1216337.79582367,0.146,0.313,0.759,1.008,1.255
"2","1.5m-2m",33,784248750,122700000,31787716,1863733,3846728.02,493,442,2.57140625,0.533060606060606,0.345187262528792,0.647557254473887,1774318.43891403,0.03,0.347,0.472,0.7,1.0534
"7","2m-3m",34,753497578,126678000,29517843,558553,3722716.7,333,284,2.96967647058824,0.513029411764706,0.275275893042875,0.536569418302916,2653160.48591549,0.1365,0.3055,0.5115,0.691,0.9144
"8","3m-5m",17,657570762,80344400,23592078,352800,2987409.2,188,168,3.11947058823529,0.410411764705882,0.242302770006744,0.590389435303805,3914111.67857143,0.1154,0.214,0.465,0.573,0.6782
"10","5m-10m",4,234624000,12618000,2789214,0,358553.46,32,26,2.38825,0.128,0.104899952335547,0.81953087762146,9024000,0.0508,0.0805,0.102,0.1495,0.226
"4","10m+",3,49272315,34079000,1018512,0,130929.71,3,3,0.463,0.255,0.10179882121125,0.399211063573529,16424105,0.1794,0.1995,0.233,0.2995,0.3394
