"","X5.","X10.","X15.","X20.","X25.","X30.","X35.","X40.","X45.","X50.","X55.","X60.","X65.","X70.","X75.","X80.","X85.","X90.","X95.","X100."
"0-100",0.5772,0.7696,0.9585,1.1004,1.228,1.3434,1.5124,1.635,1.7664,1.89,2.0156,2.147,2.2648,2.4134,2.6175,2.8944,3.2902,3.8882,6.3628,815.509
"100-250",0.421,0.606,0.734,0.8226,0.896,0.9589,1.017,1.071,1.124,1.185,1.244,1.313,1.378,1.458,1.546,1.65,1.785,1.986,2.299,31.119
"250-500",0.085,0.277,0.433,0.56,0.649,0.7163,0.769,0.816,0.858,0.897,0.938,0.98,1.021,1.064,1.116,1.187,1.306,1.538,1.97245,20.548
"500-750",0.043,0.107,0.239,0.355,0.488,0.607,0.686,0.743,0.799,0.848,0.893,0.938,0.994,1.054,1.13325,1.253,1.39175,1.571,1.85825,5.426
"750-1m",0.028,0.077,0.181,0.2972,0.42875,0.5443,0.64085,0.708,0.77,0.8125,0.863,0.9066,0.957,1.0157,1.086,1.1628,1.262,1.3979,1.626,7.165
"1m-1.5m",0.029,0.0831,0.19015,0.2984,0.403,0.503,0.56435,0.625,0.67645,0.732,0.78,0.824,0.86665,0.92,0.983,1.0468,1.13185,1.2629,1.44295,3.534
"1.5m-2m",0.04,0.1674,0.27955,0.361,0.44,0.5011,0.55,0.591,0.627,0.6845,0.731,0.771,0.82,0.883,0.946,1.019,1.09245,1.1903,1.33815,2.204
"2m-3m",0.05785,0.224,0.312,0.3568,0.40675,0.4547,0.499,0.539,0.57755,0.6095,0.647,0.681,0.727,0.778,0.83825,0.905,0.97715,1.064,1.24115,4.118
"3m-5m",0.162,0.252,0.314,0.341,0.371,0.4064,0.432,0.4662,0.4976,0.532,0.557,0.5978,0.641,0.6836,0.734,0.7914,0.8626,0.954000000000001,1.1138,5.044
"5m-10m",0.15,0.196,0.243,0.282,0.3135,0.337,0.359,0.384,0.4155,0.439,0.466,0.493,0.5255,0.55,0.5745,0.628,0.686000000000001,0.786,0.955,1.839
"10m+",0.0765,0.094,0.099,0.125,0.152,0.175,0.204,0.233,0.2525,0.268,0.2975,0.331,0.353,0.37,0.395,0.453,0.491,0.533,0.619,1.166
